Risk_Category,Severity_Level,Tool_Type,Explanation_Text,Citation_Text,Citation_URL
Bias,LOW,Plagiarism_Detection,"Basic database matching has minimal bias risks but may miss some forms of academic dishonesty. False positives are rare with this approach since it only flags exact matches from known sources.",,
Bias,MEDIUM,Plagiarism_Detection,"AI-generated content detection shows higher false positive rates for non-native English speakers and certain writing styles. These tools may incorrectly flag legitimate student work as AI-generated based on linguistic patterns rather than actual cheating.",,
Bias,HIGH,Plagiarism_Detection,"Writing style analysis can discriminate against students with different linguistic backgrounds or learning disabilities. These systems may flag diverse writing patterns as suspicious rather than recognizing legitimate stylistic differences.",,
Bias,CRITICAL,Plagiarism_Detection,"AI writing detectors have been found to be unreliable increasing the potential for false positives. When implemented at the systemic level, these tools might unfairly flag or single out academic work created by specific groups of students.",,
Privacy,LOW,Plagiarism_Detection,"Basic database matching poses minimal privacy risks since it only compares text against public sources. No personal behavioral data is collected or analyzed in this approach.",,
Privacy,MEDIUM,Plagiarism_Detection,"Limited data collection for plagiarism detection may still capture submission patterns and basic usage information. This creates some privacy exposure but remains relatively minimal compared to more invasive approaches.",,
Privacy,HIGH,Plagiarism_Detection,"Extensive plagiarism analysis may involve collecting and storing student writing samples for pattern recognition. This creates privacy risks through the accumulation of academic work and writing style profiles.",,
Privacy,CRITICAL,Plagiarism_Detection,"Behavioral profiling monitors student writing habits, submission timing, and editing patterns over time. This surveillance captures detailed information about how students learn and struggle academically.",,
Flourishing,LOW,Plagiarism_Detection,"Optional plagiarism detection preserves student agency and instructor autonomy in academic integrity decisions. This approach maintains trust-based educational relationships while providing technological support when needed.",,
Flourishing,MEDIUM,Plagiarism_Detection,"Selective use of plagiarism detection for high-stakes assignments may create anxiety around important assessments. Students may begin to view these assignments through a lens of suspicion rather than learning opportunity.",,
Flourishing,HIGH,Plagiarism_Detection,"Systematic screening treats all student work as potentially dishonest by default. This approach can erode the trust-based relationships between educators and students that are essential for effective learning.",,
Flourishing,CRITICAL,Plagiarism_Detection,"Automated plagiarism screening with direct grading integration removes human judgment from academic integrity decisions. This fundamentally alters the educational relationship by eliminating opportunities for context, growth, and learning from mistakes.",,
Bias,LOW,LLM_Tutors,"Simple Q&A interfaces have minimal bias risks since they provide factual responses without personalization. The neutral format reduces the potential for discriminatory or culturally biased interactions.",,
Bias,MEDIUM,LLM_Tutors,"Basic chat interfaces may exhibit subtle biases in language patterns and response styles. These systems can inadvertently favor certain communication styles or cultural approaches to learning and questioning.",,
Bias,HIGH,LLM_Tutors,"Conversational AI with personalized responses can amplify existing biases through tailored interactions. These systems may make assumptions about student capabilities or learning styles based on limited interaction data.",,
Bias,CRITICAL,LLM_Tutors,"Anthropomorphic AI tutors may exhibit cultural biases in personality design and emotional responses. These systems can reinforce stereotypes about authority, communication styles, and appropriate learning behaviors.",,
Privacy,LOW,LLM_Tutors,"Independent session design with no data persistence protects student privacy completely. Each interaction remains isolated with no accumulation of personal learning information over time.",,
Privacy,MEDIUM,LLM_Tutors,"Basic usage analytics capture interaction frequency and duration without storing conversation content. This creates minimal privacy exposure while still enabling some system improvement and monitoring.",,
Privacy,HIGH,LLM_Tutors,"Detailed conversation logging captures intimate student learning moments and academic struggles. This data collection can expose sensitive information about learning disabilities, personal challenges, or academic insecurities.",,
Privacy,CRITICAL,LLM_Tutors,"Comprehensive behavioral profiling creates detailed psychological and academic profiles of individual students. This intensive data collection transforms learning interactions into surveillance opportunities that can follow students throughout their academic careers.",,
Flourishing,LOW,LLM_Tutors,"Supplemental AI tutoring preserves human relationships as the primary source of educational guidance. Students maintain agency in choosing when and how to engage with AI support while keeping human mentorship central.",,
Flourishing,MEDIUM,LLM_Tutors,"Targeted AI tutoring assignment may create dependency among certain student groups. This approach can inadvertently signal that some students need artificial assistance while others can succeed with human guidance alone.",,
Flourishing,HIGH,LLM_Tutors,"Widespread AI tutor integration can reduce authentic peer learning and collaborative problem-solving opportunities. Students may become accustomed to individual AI guidance rather than developing social learning skills.",,
Flourishing,CRITICAL,LLM_Tutors,"Anthropomorphic AI tutors can create artificial emotional bonds that replace authentic human mentorship relationships. Students may become overly dependent on AI guidance rather than developing critical thinking and peer collaboration skills.",,
Organizational,LOW,Plagiarism_Detection,"Optional plagiarism detection tools require minimal organizational change and preserve existing academic integrity processes. Faculty maintain full autonomy in deciding when and how to use these technological supports.",,
Organizational,MEDIUM,Plagiarism_Detection,"Systematic plagiarism detection requires new institutional policies and faculty training programs. This creates moderate administrative burden while potentially improving consistency in academic integrity enforcement.",,
Organizational,HIGH,Plagiarism_Detection,"Institution-wide plagiarism screening demands significant policy development, staff training, and appeals process creation. The administrative overhead may divert resources from core educational activities.",,
Organizational,CRITICAL,Plagiarism_Detection,"Comprehensive automated plagiarism systems fundamentally restructure academic integrity processes and may deskill faculty in evidence evaluation. The institution becomes dependent on external technology vendors for core educational functions.",,
Organizational,LOW,LLM_Tutors,"Voluntary supplemental AI tutoring requires minimal institutional infrastructure changes. Existing support systems remain primary with AI providing optional additional assistance.",,
Organizational,MEDIUM,LLM_Tutors,"Targeted AI tutor deployment requires staff training and integration planning. This creates moderate organizational change while maintaining human-centered support as the foundation.",,
Organizational,HIGH,LLM_Tutors,"Systematic AI tutor integration demands extensive teacher training and oversight protocols. The administrative burden of monitoring AI interactions may reduce time available for direct student support.",,
Organizational,CRITICAL,LLM_Tutors,"AI tutors as primary instructional delivery fundamentally restructure teaching roles and may lead to faculty reduction. The institution risks losing essential human expertise and relationship-building capacity.",,
Accuracy,LOW,Plagiarism_Detection,"Database matching provides reliable detection for exact plagiarism but may miss paraphrased or sophisticated academic dishonesty. The accuracy is high for direct copying but limited in scope.",,
Accuracy,MEDIUM,Plagiarism_Detection,"AI-generated content detection has moderate accuracy but produces false positives and negatives. The technology is still developing and may incorrectly identify human writing as AI-generated or vice versa.",,
Accuracy,HIGH,Plagiarism_Detection,"Advanced plagiarism detection may provide detailed analysis but can produce misleading results when analyzing legitimate student work. The complexity of these systems can make accuracy assessment difficult for educators.",,
Accuracy,CRITICAL,Plagiarism_Detection,"Comprehensive behavioral analysis may generate inaccurate conclusions about student intent and academic integrity. These systems can misinterpret legitimate learning behaviors as signs of academic dishonesty.",,
Accuracy,LOW,LLM_Tutors,"Simple Q&A systems provide basic factual information with reasonable accuracy for straightforward questions. However, they may struggle with complex or nuanced educational content.",,
Accuracy,MEDIUM,LLM_Tutors,"Conversational AI tutors can provide helpful guidance but may generate confident-sounding incorrect information. Students may have difficulty distinguishing between accurate and inaccurate AI responses.",,
Accuracy,HIGH,LLM_Tutors,"Personalized AI tutoring systems may reinforce student misconceptions by adapting to incorrect beliefs. The AI may provide responses that seem helpful but actually impede accurate learning.",,
Accuracy,CRITICAL,LLM_Tutors,"Comprehensive AI tutoring with limited oversight may spread misinformation while appearing authoritative. Students may develop fundamental misunderstandings that are difficult to correct later in their education.",,
Misuse,LOW,Plagiarism_Detection,"Optional plagiarism detection has minimal misuse potential since human oversight remains central. Instructors maintain control over interpretation and application of results.",,
Misuse,MEDIUM,Plagiarism_Detection,"Systematic plagiarism screening may create false accusations if results are misinterpreted. The potential for administrative misuse increases with more automated processes.",,
Misuse,HIGH,Plagiarism_Detection,"Automated plagiarism systems can be misused to avoid difficult conversations about academic integrity. The technology may become a substitute for pedagogical engagement around learning and growth.",,
Misuse,CRITICAL,Plagiarism_Detection,"Comprehensive behavioral analysis enables systematic surveillance that extends beyond academic integrity. Such systems can be misused for broader monitoring and control of student behavior.",,
Misuse,LOW,LLM_Tutors,"Supplemental AI tutoring with clear boundaries has minimal misuse potential. Students understand the tool's role and maintain primary relationships with human educators.",,
Misuse,MEDIUM,LLM_Tutors,"AI tutoring systems may be misused by students to complete assignments rather than learn. Basic chat interfaces still allow for some academic dishonesty through overreliance on AI assistance.",,
Misuse,HIGH,LLM_Tutors,"Personalized AI tutors can be misused as academic shortcuts, enabling students to bypass critical thinking processes. The conversational nature makes it easier to use AI for completion rather than learning.",,
Misuse,CRITICAL,LLM_Tutors,"Anthropomorphic AI tutors may be misused to replace authentic learning relationships entirely. Students may develop dependency that undermines their ability to engage in genuine intellectual struggle and growth.",,
