Question_ID,Tool_Type,Question_Text,Answer_A,Answer_B,Answer_C,Answer_D,A_Severity,A_BA,A_MA,A_PS,A_MC,A_HI,A_OH,A_Output,A_Whole,A_Group,A_System,B_Severity,B_BA,B_MA,B_PS,B_MC,B_HI,B_OH,B_Output,B_Whole,B_Group,B_System,C_Severity,C_BA,C_MA,C_PS,C_MC,C_HI,C_OH,C_Output,C_Whole,C_Group,C_System,D_Severity,D_BA,D_MA,D_PS,D_MC,D_HI,D_OH,D_Output,D_Whole,D_Group,D_System,Compound_Risk_ID,Notes
PROC_Q1,Proctoring,What personal data does the proctoring system collect?,Basic session recording only,Facial features and expressions,Eye tracking and gaze patterns,Voice patterns and room audio,LOW,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,MEDIUM,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,HIGH,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,CRITICAL,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,BIOMETRIC_ESC,Biometric data collection escalates privacy and bias risks
PROC_Q2,Proctoring,How does the system define suspicious behavior?,Pre-defined technical violations only,AI-interpreted behavioral patterns,Biometric anomaly detection,Comprehensive behavioral profiling,LOW,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,MEDIUM,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,HIGH,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,CRITICAL,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,BEHAVIOR_PROF,Behavioral interpretation carries high bias risk across all interaction levels
PROC_Q3,Proctoring,Has the system been tested for bias across student populations?,Extensively tested across all demographic groups,Basic testing on major demographic categories,Limited bias testing conducted,No bias testing information available,LOW,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,MEDIUM,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,HIGH,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CRITICAL,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,BIAS_TEST_CRIT,Lack of bias testing with monitoring systems creates critical compound risks
PROC_Q4,Proctoring,How long is proctoring data stored?,Deleted within days of test completion,Stored for current academic term,Stored for multiple years,Indefinitely or unclear policy,LOW,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,MEDIUM,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,HIGH,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,CRITICAL,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,DATA_RETENTION,Long-term storage amplifies privacy and institutional risks
TUT_Q1,Tutoring,How does the AI adapt to diverse cultural contexts?,Uses diverse examples and cultural references,Adapts language but not cultural content,Uses primarily dominant cultural examples,No cultural adaptation features,LOW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,LOW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,MEDIUM,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,HIGH,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,CULTURAL_BIAS,Cultural insensitivity compounds with other bias sources
TUT_Q2,Tutoring,How does the AI handle complex or controversial topics?,Presents multiple perspectives and encourages analysis,Gives balanced information with limited analysis,Provides simplified single-perspective answers,Avoids controversial topics entirely,LOW,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,LOW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,MEDIUM,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,HIGH,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,CRIT_THINK_DEG,Loss of critical thinking opportunities has compounding effects over time
TUT_Q3,Tutoring,Can students understand how the AI makes suggestions?,Full explanation of AI reasoning provided,Basic rationale given for suggestions,Results shown without explanation,No transparency into AI decision-making,LOW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,LOW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,MEDIUM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,HIGH,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRANSPARENCY,Opaque AI systems reduce learning effectiveness and trust
TUT_Q4,Tutoring,What level of help does the AI provide to students?,Hints and guided questions only,Explanations and step-by-step teaching,Direct answers with some explanation,Complete solutions and finished work,LOW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,LOW,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,MEDIUM,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,HIGH,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,DEPENDENCY,Direct answer provision creates dependency and skills degradation
GRAD_Q1,Grading,What types of work will the AI evaluate?,Only objective clear right/wrong answers,Structured responses with detailed rubrics,Creative work requiring interpretation,All types including highly subjective work,LOW,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,MEDIUM,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,HIGH,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,CRITICAL,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,SUBJ_GRADING,AI assessment of subjective work carries high bias and accuracy risks
GRAD_Q2,Grading,How does the system address potential grading bias?,Active bias monitoring and correction systems,Periodic bias audits conducted,Basic fairness checks implemented,No specific bias mitigation measures,LOW,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,LOW,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,MEDIUM,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,HIGH,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,GRADING_BIAS,Grading bias creates permanent impacts on student academic trajectories
